Channel	L1_Mean_ADC	L2_Mean_ADC
0	90.4384	103.031
1	90.7743	95.1172
2	89.5824	103.555
3	92.3914	102.324
4	90.1166	98.6181
5	90.5805	105.552
6	86.1487	102.814
7	94.0233	99.7995
8	0	0
9	92.3559	65.9858
10	188.269	104.499
11	92.9962	99.6424
12	90.6923	104.306
13	93.356	102.221
14	87.7432	106.265
15	92.4956	103.795
16	93.958	104.161
17	0	0
18	90.8876	94.712
19	0	0
20	95.6692	102.031
21	92.9715	102.802
22	90.7817	100.656
23	94.7847	105.332
24	90.8373	101.64
25	91.3465	98.9629
26	83.6826	104.789
27	90.8703	101.47
28	0	0
29	86.6042	225.659
30	92.477	105.528
31	91.9035	107.614
32	86.4552	120.895
33	90.7397	101.603
34	92.3281	106.072
35	93.6323	102.79
36	90.462	102.683
37	0	0
38	0	0
39	95.0909	95.4961
40	92.4692	94.5482
41	91.896	98.9653
42	91.8345	94.3431
43	93.948	99.4894
44	91.7414	99.1112
45	94.0616	99.364
46	94.9346	96.6952
47	0	0
48	93.4999	94.6229
49	93.729	97.5206
50	895.676	96.9584
51	92.8926	95.2852
52	94.4397	96.6907
53	95.1869	97.5173
54	96.7581	99.0296
55	195.226	99.4916
56	0	0
57	96.0605	87.3482
58	0	0
59	96.9955	92.4819
60	95.668	96.0508
61	94.0471	97.103
62	94.8748	96.1943
63	95.1644	96.0757
64	93.8631	92.7919
65	97.2293	97.0893
66	94.432	96.9911
67	0	0
68	94.4952	95.7036
69	95.9464	99.4092
70	90.4505	98.6401
71	95.7186	96.9862
72	95.2017	99.1124
73	95.7038	96.0506
74	94.481	89.0155
75	95.973	208.703
76	0	0
77	0	0
78	189.768	101.772
79	93.6829	103.66
80	93.9186	105.218
81	93.7058	104.705
82	95.3292	103.615
83	93.7258	217.585
84	94.7814	99.4127
85	94.5796	100.995
86	0	0
87	93.0955	102.013
88	88.1192	105.871
89	94.7169	98.6102
90	95.9058	102.053
91	96.3272	104.196
92	94.7391	104.451
93	95.0674	98.2474
94	94.8123	106.604
95	0	0
96	83.4062	97.3781
97	0	0
98	95.6975	76.7231
99	94.8431	207.482
100	95.7036	95.7459
101	95.8512	106.574
102	95.0007	101.208
103	95.8614	98.7681
104	95.9168	106.279
105	95.7814	105.085
106	0	0
107	96.0415	107.206
108	98.1717	110.627
109	94.75	103.999
110	94.846	109.457
111	94.4872	105.232
112	95.0717	104.333
113	93.6712	102.624
114	94.7352	99.9523
115	0	0
116	0	0
117	89.4015	101.559
118	91.4638	100.335
119	88.788	101.479
120	91.4548	102.972
121	88.04	104.71
122	88.5274	101.546
123	89.7294	100.861
124	88.2533	101.816
125	0	0
126	87.9237	101.923
127	195.095	200.263
128	90.203	103.604
129	86.717	105.438
130	90.9723	102.477
131	84.8349	103.01
132	89.5607	104.316
133	88.6999	104.707
134	0	0
135	89.8997	94.5444
136	0	0
137	91.7602	101.307
138	91.9274	102.938
139	89.6233	103.553
140	90.7024	104.747
141	92.4261	105.47
142	89.7903	101.793
143	90.07	103.334
144	90.972	102.217
145	0	0
146	86.0137	104.981
147	90.2407	259.624
148	1.6102	103.541
149	87.1687	104.974
150	89.2662	94.1016
151	90.1875	97.8773
152	1.61096	102.755
153	88.0376	96.122
154	0	0
155	0	0
156	82.7849	209.826
157	86.5315	98.4613
158	85.9499	98.0971
159	84.2936	100.189
160	83.53	93.5968
161	188.187	99.5095
162	83.712	98.8764
163	86.4413	97.286
164	0	0
165	84.9397	90.6828
166	86.6437	99.0445
167	87.7529	67.1436
168	87.5654	97.5441
169	86.3533	99.033
170	87.384	99.1847
171	88.6172	191.677
172	88.5576	93.5476
173	0	0
174	85.957	91.9946
175	0	0
176	88.7512	93.3446
177	86.5534	94.4164
178	88.2671	97.0875
179	86.2953	98.3482
180	86.5804	95.5735
181	82.9043	94.5516
182	85.6461	100.062
183	90.3153	98.9054
184	0	0
185	90.3061	100.574
186	88.656	101.443
187	86.0645	100.896
188	86.4827	101.668
189	189.245	97.5862
190	86.6283	99.2451
191	86.083	98.8079
192	86.2644	98.1494
193	0	0
194	0	0
195	85.3747	99.8001
196	81.864	98.6612
197	84.8744	100.777
198	85.3177	99.2415
199	87.2182	99.3635
200	84.44	99.9283
201	85.9301	100.609
202	86.5057	98.7544
203	0	0
204	85.835	99.3112
205	84.9114	102.709
206	83.5664	98.447
207	79.789	100.358
208	85.1537	98.9192
209	77.9073	100.376
210	85.8527	96.1659
211	85.4676	99.6178
212	0	0
213	84.0485	91.9914
214	0	0
215	85.1664	98.6079
216	85.4032	96.4181
217	197.432	98.3385
218	86.3039	207.574
219	85.0149	98.2637
220	84.3045	97.3902
221	86.1871	99.5548
222	86.1018	97.9457
223	0	0
224	84.2845	98.5201
225	86.1952	99.5563
226	86.1478	100.059
227	86.612	99.9865
228	95.6655	98.4938
229	84.8698	97.9809
230	91.9437	99.0631
231	95.1141	98.6701
232	0	0
233	0	0
