N_channel	x	y	Econde_Rx
0	2.417	4.884	0
1	3.021	5.93	0
2	1.208	4.884	0
3	1.813	5.93	0
4	4.229	8.023	0
5	3.625	6.977	0
6	2.417	6.977	0
7	3.021	8.023	0
8	-3.021	10.0	0
9	1.813	8.024	0
10	1.208	6.977	0
11	0.604	8.023	0
12	0.001	6.977	0
13	-0.0	4.884	0
14	-1.208	4.884	0
15	-0.604	5.93	0
16	0.604	5.93	0
17	-1.814	10.0	0
18	0.001	6.977	0
19	-0.604	10.0	0
20	-0.604	8.023	0
21	-1.208	6.977	0
22	-1.814	8.023	0
23	-2.417	6.977	0
24	-3.021	8.023	0
25	-4.229	8.023	0
26	-3.625	6.977	0
27	-4.834	6.977	0
28	0.604	10.0	0
29	-3.021	5.93	0
30	-3.625	4.884	0
31	-1.813	5.93	0
32	-2.417	4.884	0
33	-5.438	5.931	0
34	-6.043	4.884	0
35	-4.229	5.93	0
36	-4.834	4.884	0
37	1.813	10.0	0
38	3.021	10.0	0
39	0.604	3.837	1
40	0.0	2.791	1
41	1.814	3.837	1
42	1.208	2.791	1
43	-1.813	3.836	1
44	-1.208	2.791	1
45	-2.417	2.791	1
46	-0.604	3.837	1
47	-10.171	2.384	1
48	0.604	1.744	1
49	0.0	0.698	1
50	-1.208	0.698	1
51	-0.604	1.744	1
52	-3.021	1.744	1
53	-2.417	0.698	1
54	-1.813	1.744	1
55	-3.625	0.698	1
56	-9.567	3.429	1
57	-4.229	1.744	1
58	-8.962	4.477	1
59	-4.229	1.744	1
60	-4.833	0.698	1
61	-5.437	1.744	1
62	-6.042	0.697	1
63	-3.021	3.837	1
64	-4.229	3.837	1
65	-3.625	2.791	1
66	-4.834	2.791	1
67	-8.358	5.523	1
68	-6.646	1.744	1
69	-7.25	0.697	1
70	-7.855	1.744	1
71	-8.459	0.698	1
72	-7.25	2.791	1
73	-5.438	3.837	1
74	-6.042	2.791	1
75	-6.646	3.837	1
76	-7.754	6.57	1
77	-7.15	7.616	1
78	3.021	-4.535	2
79	3.625	-5.581	2
80	3.625	-3.488	2
81	4.229	-4.535	2
82	4.834	-5.581	2
83	4.229	-6.629	2
84	4.834	-7.674	2
85	5.438	-6.628	2
86	10.171	-2.384	2
87	6.042	-5.581	2
88	5.438	-4.535	2
89	6.646	-4.535	2
90	6.043	-3.488	2
91	4.228	-2.442	2
92	4.834	-1.395	2
93	5.438	-2.442	2
94	4.834	-3.488	2
95	9.567	-3.429	2
96	6.043	-3.488	2
97	8.962	-4.477	2
98	7.25	-3.488	2
99	6.646	-2.442	2
100	7.855	-2.442	2
101	7.25	-1.395	2
102	8.459	-1.395	2
103	9.063	-0.349	2
104	7.855	-0.349	2
105	8.459	0.698	2
106	8.358	-5.523	2
107	6.646	-0.349	2
108	6.043	0.698	2
109	6.042	-1.395	2
110	5.438	-0.349	2
111	7.251	0.698	2
112	6.647	1.744	2
113	7.855	1.744	2
114	7.25	2.791	2
115	7.754	-6.57	2
116	7.15	-7.616	2
117	2.417	-1.395	3
118	1.813	-2.442	3
119	3.021	-2.442	3
120	2.417	-3.488	3
121	4.229	-0.349	3
122	3.021	-0.349	3
123	3.625	0.698	3
124	3.625	-1.395	3
125	7.15	7.616	3
126	1.208	-1.395	3
127	0.604	-0.349	3
128	1.208	0.697	3
129	1.813	-0.349	3
130	3.021	1.744	3
131	1.813	1.744	3
132	2.417	0.698	3
133	2.417	2.792	3
134	7.753	6.571	3
135	3.625	2.791	3
136	8.358	5.523	3
137	3.625	2.791	3
138	3.021	3.837	3
139	4.229	3.837	3
140	3.625	4.884	3
141	4.834	0.697	3
142	5.438	1.743	3
143	4.229	1.744	3
144	4.834	2.791	3
145	8.962	4.477	3
146	4.834	4.884	3
147	4.229	5.93	3
148	5.437	5.93	3
149	4.834	6.977	3
150	6.042	4.885	3
151	6.042	2.791	3
152	5.438	3.837	3
153	6.646	3.837	3
154	9.567	3.43	3
155	10.171	2.384	3
156	-5.438	-0.349	4
157	-6.646	-0.349	4
158	-4.834	-1.395	4
159	-6.042	-1.395	4
160	-9.063	-0.349	4
161	-7.855	-0.349	4
162	-7.25	-1.395	4
163	-8.459	-1.395	4
164	-7.15	-7.616	4
165	-7.855	-2.442	4
166	-6.646	-2.442	4
167	-7.25	-3.488	4
168	-6.042	-3.488	4
169	-4.229	-2.441	4
170	-3.625	-3.488	4
171	-4.834	-3.488	4
172	-5.438	-2.442	4
173	-7.753	-6.571	4
174	-6.042	-3.488	4
175	-8.358	-5.523	4
176	-5.438	-4.535	4
177	-6.646	-4.535	4
178	-6.042	-5.581	4
179	-4.834	-5.581	4
180	-5.438	-6.628	4
181	-4.834	-7.674	4
182	-4.228	-6.628	4
183	-3.625	-7.674	4
184	-8.962	-4.477	4
185	-3.625	-5.581	4
186	-2.417	-5.581	4
187	-4.229	-4.535	4
188	-3.021	-4.535	4
189	-2.417	-7.674	4
190	-1.208	-7.674	4
191	-3.021	-6.628	4
192	-1.813	-6.628	4
193	-9.567	-3.43	4
